moment|url
1557744486305.626|https://www.google.com/search?ei=YEvZXM3SELPQmwXRgY-oBA&q=%D1%83%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D1%82%D1%8C+%D1%87%D0%B8%D1%81%D0%BB%D0%BE+%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2+%D0%BF%D0%BE%D1%81%D0%BB%D0%B5+%D0%B7%D0%B0%D0%BF%D1%8F%D1%82%D0%BE%D0%B9+numpy&oq=%D1%83%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D1%82%D1%8C+%D1%87%D0%B8%D1%81%D0%BB%D0%BE+%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2+%D0%BF%D0%BE%D1%81%D0%BB%D0%B5+%D0%B7%D0%B0%D0%BF%D1%8F%D1%82%D0%BE%D0%B9+numpy&gs_l=psy-ab.3...2457.4811..5027...0.0..0.111.431.4j1......0....1..gws-wiz.......0i71j33i22i29i30j33i160.e_NRvYvEvk8
1557744480359.989|https://www.google.com/search?q=%D1%83%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D1%82%D1%8C+%D1%87%D0%B8%D1%81%D0%BB%D0%BE+%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2+%D0%BF%D0%BE%D1%81%D0%BB%D0%B5+%D0%B7%D0%B0%D0%BF%D1%8F%D1%82%D0%BE%D0%B9+np&oq=%D1%83%D0%B2%D0%B5%D0%BB%D0%B8%D1%87%D0%B8%D1%82%D1%8C+%D1%87%D0%B8%D1%81%D0%BB%D0%BE+%D0%B7%D0%BD%D0%B0%D0%BA%D0%BE%D0%B2+%D0%BF%D0%BE%D1%81%D0%BB%D0%B5+%D0%B7%D0%B0%D0%BF%D1%8F%D1%82%D0%BE%D0%B9+np&aqs=chrome..69i57.10883j0j4&sourceid=chrome&ie=UTF-8
1557744375028.405|http://qaru.site/questions/10498952/how-to-suppress-the-error-message-when-dividing-0-by-0-using-npdivide-alongside-other-floats
1557744369432.565|https://www.google.com/search?q=invalid+value+encountered+in+true_divide&oq=invalid+value+encountered+in+true_divide&aqs=chrome..69i57j0l5.340j0j4&sourceid=chrome&ie=UTF-8
1557744346511.978|https://stackoverflow.com/questions/27842884/numpy-invalid-value-encountered-in-true-divide?rq=1
1557743755573.384|https://github.com/rm-hull/markov-chains
1557743748598.4531|https://www.google.com/search?q=out-of-core+Markov+chain&oq=out-of-core+Markov+chain&aqs=chrome..69i57.449j0j4&sourceid=chrome&ie=UTF-8
1557743720605.805|http://qav.cs.ox.ac.uk/papers/pdmc02.pdf
1557743630532.1829|https://www.researchgate.net/post/How_can_I_manipulate_large_Markov_chains
1557743624695.8909|https://www.google.com/search?q=big+markov+chains&oq=big+markov+chains&aqs=chrome..69i57.4430j0j4&sourceid=chrome&ie=UTF-8
1557742943846.246|https://stackoverflow.com/questions/14861891/runtimewarning-invalid-value-encountered-in-divide
1557742941785.0908|https://www.google.com/search?q=invalid+value+encountered+in+true_divide&oq=invalid+value+encountered+in+true_divide&aqs=chrome..69i57j0l5.415j0j9&sourceid=chrome&ie=UTF-8
1557741783023.949|https://www.google.com/search?sa=X&q=%D0%A0%D0%B0%D0%B7%D0%BB%D0%BE%D0%B3%D0%BE%D0%B2%D0%B0,+%D0%9D%D0%B0%D1%82%D0%B0%D0%BB%D0%B8%D1%8F+%D0%AD%D0%BC%D0%B8%D0%BB%D1%8C%D0%B5%D0%B2%D0%BD%D0%B0&stick=H4sIAAAAAAAAAONgFuLWT9c3NDIoTsnNKFTiAXEycozTqpKLMrT4AlKLivPzgjNTUssTK4sXsZpeWHBhw4XtF3Zf2HdhMxBvurBBR-HC3AsbLjYBxXdf2HGxX-HC2gt7Luy4sPtiz4WtQAV7L2wAAAu-IWhlAAAA&ved=0ahUKEwjvku-qytDhAhUvwsQBHVJ5CwYQ-BYILzAn&biw=1680&bih=971
1557741639601.161|https://chrisalbon.com/python/data_wrangling/pandas_dataframe_importing_csv/
1557741636681.312|https://www.google.com/search?ei=jD_ZXJX-K5GSmwWLwIv4AQ&q=csv+to+pandas+dataframe+python&oq=csv+to+pandas+&gs_l=psy-ab.1.1.0l2j0i67j0i22i30j0i22i10i30j0i22i30l5.2449.2449..3635...0.0..0.61.61.1......0....1..gws-wiz.......0i71.EFfyVeC5-kA
1557741459826.141|https://www.shanelynn.ie/python-pandas-read_csv-load-data-from-csv-files/
1557741452818.95|https://www.google.com/search?q=csv+to+pandas&oq=csv+to+pandas&aqs=chrome..69i57j0l5.4208j0j4&sourceid=chrome&ie=UTF-8
1557740976093.448|https://passport.yandex.ru/auth?from=cloud&origin=disk_landing2_signin_ru&retpath=https%3A%2F%2Fdisk.yandex.ru%3Fsource%3Dlanding2_signin_ru&backpath=https%3A%2F%2Fdisk.yandex.ru%3F
1557740972637.627|https://disk.yandex.ru/?win=36&clid=155842
1557740927078.5042|https://translate.yandex.ru/?utm_source=slovari&lang=ru-en&text=fffffff
1557740922980.744|https://translate.yandex.ru/?utm_source=slovari
1557740809443.918|https://www.google.com/search?q=yandex&oq=ya&aqs=chrome.0.0j69i60l3j69i57j69i60.1362j0j4&sourceid=chrome&ie=UTF-8
1557740597223.754|https://www.docsity.com/ru/?Open=&Type=ProtectedDownload&UNID=AD37615790DB4F3443256BE0007B367D&Name=19%5C23775.gif&Key=223819&Wrong=1#.UNsfHORg-So
1557740306052.6519|https://www.youtube.com/watch?v=Mkz-RO1rhMM
1557740202978.898|https://www.google.com/search?q=edw&oq=edw&aqs=chrome..69i57j0l5.1072j0j4&sourceid=chrome&ie=UTF-8
1557740178419.169|https://getadblock.com/update/3.46.0/?u=kjen8l1f4198590&bc=6684&rt=0
1557740162869.165|https://www.google.com/
1557740162615.9849|https://mail.ru/
1557740162525.886|https://search.yahoo.com/?fr=spigot-yhp-gcmac&ilc=12&type=808263
1557240069736.4521|https://www.google.com/search?q=efretvrbg&oq=e&aqs=chrome.0.69i59j69i65j69i57j69i59l2j69i60.1195j0j4&sourceid=chrome&ie=UTF-8
1557240056940.5242|https://vk.com/al_feed.php
1557239978222.59|https://login.mipt-telecom.ru/
1557238573811.513|https://www.google.com/search?q=instagram&oq=in&aqs=chrome.0.69i59j69i60l4j69i57.1823j0j9&sourceid=chrome&ie=UTF-8
1557238566222.648|https://yandex.ru/maps/213/moscow/?clid=155842&ll=37.588144%2C55.733842&mode=search&oid=1124715036&ol=biz&win=36&z=18
1557238544774.104|https://yandex.ru/maps/213/moscow/?clid=155842&ll=37.588144%2C55.733842&oid=1124715036&ol=biz&photos%5Bbusiness%5D=1124715036&win=36&z=18
1557238541347.62|https://yandex.ru/maps/213/moscow/?clid=155842&ll=37.590653%2C55.733178&mode=search&oid=1124715036&ol=biz&win=36&z=18
1557238541064.5671|https://yandex.ru/maps/213/moscow/?clid=155842&ll=37.590653%2C55.733178&mode=search&win=36&z=18
1557238535288.179|https://yandex.ru/maps/213/moscow/?clid=155842&ll=37.590653%2C55.733178&mode=search&ol=geo&ouri=ymapsbm1%3A%2F%2Fgeo%3Fll%3D37.587093%252C55.733974%26spn%3D0.001000%252C0.001000%26text%3D%25D0%25A0%25D0%25BE%25D1%2581%25D1%2581%25D0%25B8%25D1%258F%252C%2520%25D0%259C%25D0%25BE%25D1%2581%25D0%25BA%25D0%25B2%25D0%25B0%252C%2520%25D1%2583%25D0%25BB%25D0%25B8%25D1%2586%25D0%25B0%2520%25D0%259B%25D1%258C%25D0%25B2%25D0%25B0%2520%25D0%25A2%25D0%25BE%25D0%25BB%25D1%2581%25D1%2582%25D0%25BE%25D0%25B3%25D0%25BE%252C%252016%2520&win=36&z=18
1557238534052.922|https://yandex.ru/maps/213/moscow/?clid=155842&ll=37.590180%2C55.733851&mode=search&ol=geo&ouri=ymapsbm1%3A%2F%2Fgeo%3Fll%3D37.587093%252C55.733974%26spn%3D0.001000%252C0.001000%26text%3D%25D0%25A0%25D0%25BE%25D1%2581%25D1%2581%25D0%25B8%25D1%258F%252C%2520%25D0%259C%25D0%25BE%25D1%2581%25D0%25BA%25D0%25B2%25D0%25B0%252C%2520%25D1%2583%25D0%25BB%25D0%25B8%25D1%2586%25D0%25B0%2520%25D0%259B%25D1%258C%25D0%25B2%25D0%25B0%2520%25D0%25A2%25D0%25BE%25D0%25BB%25D1%2581%25D1%2582%25D0%25BE%25D0%25B3%25D0%25BE%252C%252016%2520&win=36&z=18
